ID,Project Description,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,Cost Benefit Report PDF,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Mining Date of Issue,Mining Date of Validity,Mining Lease Period,Mining Date of Expiry,Mining Lease Area,Mining Production Capacity,Mining Other Info,Mining Status of Approval,Mining Estimated Reserve Names,Mining Estimated Reserve FL,Mining Estimated Reserve NFL,Mining Proved Reserves,Mining Indicated Reserves,Mining Inferred Reserves,Mining Mineable Reserves,Mining Approved Life of Mine,Mining Approving Authority Name,Mining Life of Mine Other Info,Mining Type of Mining,Mining Method of Mining,Mining Type of Mining Other Info,Mining Blasting Other Info,Mining External Dumping Remarks,Mining Internal Dumping Remarks,Mining Topsoil Dumping Remarks,Mining Total Quarry Area,Mining Quarry Other Info,Mining Transportation Mode From Pithead,Mining Transportation Mode From Loading,Mining Transportation Mode Other Info,Mining Plantation Area,Mining Water Body,Mining Public Use,Mining Other Use,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Forest Clearance Present Owners,Village Code,KML URLs,Employment (Construction),Employment (Operational),proposal_url,District,Plot Number
876692,LILO of one ckt of Narendra(existing)-Narendra(New) 400 kV D/C quad transmission line,New,FP/GA/TRANS/401223/2022,2022-09-23T14:31:13.364+00:00,,DELISTED_BY_SYSTEM,89.4424,5000.0,GOA TAMNAR TRANSMISSION PROJECT LIMITED,,Forest clearance form,,,,LILO of one ckt of Narendra(existing)-Narendra(New) 400 kV D/C quad transmission line,GOA,Dharbandora,MOLEN,,,,Linear,12.4444,76.998,89.4424,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,The route was finalized as per direction of Hon'ble Supreme Court base on CEC recommendation,NO,NO,NO,2022-12-15T18:30:00.000+00:00,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=59020&refId=876691&refType=fc&uuid=16de0e4d-60ad-492d-b63f-9670112c996c&version=1.0,Degraded Forest Land,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"F1 Mira Corporate Suite, Main Mathura Road, Ishwar Nagar,New Delhi-110065",Delhi,7,Private Limited,Assistant Vice President,Panaji,30,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=767361&refType=FC&uuid=894f28e0-4464-48a1-802d-d5d9235f7113&version=1.3;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=767361&refType=FC&uuid=4f3f2ab7-aba0-461b-879a-76eb2e1a79e7&version=1.2,189000.0,210000.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=876692,SOUTH GOA,
877082,LILO of one ckt of Narendra(existing)-Narendra(New) 400 kV D/C quad transmission line,New,WL/GA/TRANS/401225/2022,2022-09-23T15:26:48.931+00:00,,,89.4424,5000.0,GOA TAMNAR TRANSMISSION PROJECT LIMITED,,Wildlife clearance form,,,,LILO of one ckt of Narendra(existing)-Narendra(New) 400 kV D/C quad transmission line,GOA,Dharbandora,MOLEN,,,,Linear,12.4444,76.998,89.4424,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,The route was finalized as per direction of Hon'ble Supreme Court base on CEC recommendation,NO,NO,NO,2023-10-27T12:22:30.133+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=59109&refId=877081&refType=caf&uuid=e4f81100-2173-4c7d-87c0-bc73d7c77c93&version=1.1,189000.0,210000.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=877082,SOUTH GOA,
917415,Proposal for diversion of 78.297 ha forest area for construction of 400 kV D/C Xeldem - Mapusa transmission line & Xeldem- Xeldem (Existing) 220 kV HTLS D/C transmission Line,New,FP/GA/TRANS/401431/2022,2022-09-26T12:08:33.715+00:00,,Pending at Nodal Officer due to EDS by State Secretary,319.828,22700.0,GOA TAMNAR TRANSMISSION PROJECT LIMITED,,Forest clearance form,,,,Construction of 400 kV D/C Xeldem - Mapusa transmission line & Xeldem- Xeldem (Existing) 220 kV HTLS D/C transmission Line,GOA,Bardez,Moira (CT),,,,Linear,241.531,78.297,319.828,0.0,0.0,0.0,0.0,0.0,0,0,0,YES,,NO,NO,NO,2023-01-13T18:30:00.000+00:00,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=59020&refId=917414&refType=fc&uuid=1eee5e51-59e6-4b61-917b-b2dc135ab2e9&version=1.0,Degraded Forest Land,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"F1 Mira Corporate Suite, Main Mathura Road, Ishwar Nagar,New Delhi-110065",,7,Private Limited,Chief Manager,,30,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=914641&refType=caf&uuid=4e904db2-1cc0-4264-a10f-77163833c7f9&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=914641&refType=caf&uuid=676d6d35-0e84-4d61-9346-2e09af4d8ce6&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=914641&refType=caf&uuid=9297ff5f-aaf5-429f-a21e-6777cdc7f5d4&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=914641&refType=FC&uuid=d9684901-e9b5-449f-b0c6-94d6f98180bf&version=1.1;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=914641&refType=FC&uuid=667cf7ef-dd35-4a59-9a0d-67a5632a2e60&version=1.1,175500.0,378000.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=917415,NORTH GOA,
1187776,Vagxepe Damdo Amabeya Temb Iron and Manganese Ore,Expansion,IA/GA/MIN/403555/2022,2022-10-18T05:52:36.188+00:00,,,62.54,48.0,PADIYAR GAJANAN,P and M Solutions,Environment clearance form,TOR,B1,Mining of minerals,Vagxepe Damdo Amabeya Temb Iron and Manganese Ore Mine,GOA,Quepem,Molcarnem,,,"Survey No. 86 to 91, 104 to 111, 114 and 117",Non - Linear,62.54,0.0,62.54,0.0,0.0,0.0,26.0,22.0,0,0,0,Not applicable as the project or activity is site specific,,YES,NO,NO,2022-11-24T12:45:34.112+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1187776,SOUTH GOA,"Survey No. 86 to 91, 104 to 111, 114 and 117"
1242504,"Naquerim Bauxite Ore and Aluminous Laterite Mine
bearing Mining Lease No. 1/NSD/BAUXITE/85, dated
10.08.1987 over an extent of 40.92 Ha as per Mining Lease
Deed by M/S Bhumipurusha Minerals Pvt. Ltd.",New,SIA/GA/MIN/404064/2022,2022-10-21T09:30:33.188+00:00,,TOR GRANTED,40.92,60.0,BHUMIPURUSHA MINERALS PRIVATE LIMITED,,Environment clearance form,TOR,B1,Mining of minerals,Naquerim Bauxite Mine,GOA,Quepem,Naquerim,GA/TOR/0075/2022,GA/TOR/0075/2022,,Hybrid,40.92,0.0,40.92,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,YES,NO,YES,2022-10-21T12:10:38.059+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1241549&refType=caf&uuid=3129c380-b608-4e59-ba93-0e465d972c1e&version=1.0,0.0,10600.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1242504,South Goa,
1248310,"Construction of 2X2500m3 Capacity MBR  with Control Room, Approach road and for laying Pumping Main and Conveying Mains in Sy. No. 188 of Village Usgao.",New,FP/GA/WATER/404107/2022,2022-10-21T12:25:52.801+00:00,,DELISTED_BY_SYSTEM,0.97,5212.65,EXECUTIVE ENGINEER PUBLIC WORK DEPARTMENT,,Forest clearance form,,,,"Construction of 2X2500m3 Capacity MBR  with Control Room, Approach road and for laying Pumping Main and Conveying Mains in Sy. No. 188 of Village Usgao.",GOA,Satari,GOTIAKHADILWADA,,,188,Linear,0.47,0.5,0.97,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2022-10-26T18:30:00.000+00:00,,,Non-forest Land,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Executive Engineer, WD-III(PHE-N), Public Work Department, St. Inez, Panaji, Goa",St Inej,30,State Government (Department/Autonomous body),Executive Engineer,St Inej,30,Public Work Department,626852,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1220822&refType=caf&uuid=5a3e2ee7-21f9-45df-9402-bcb4c9e5c4b1&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=59061&refId=1220822&refType=FC&uuid=1168fb0c-e7bd-49b2-9ab9-1227e17dc2ad&version=1.1;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=1220822&refType=FC&uuid=a6023e6e-0336-47bf-94ce-fb7283a471bd&version=1.3,5280.0,6480.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1248310,North Goa,188
1490902,"Expansion in the existing Built up Area from 52530.00 Sq. m to 76590.20 Sq. m (i.e., Construction of Tertiary Cancer Care Centre & Blood Bank within the existing site premises) by 
M/s. Goa Medical College & Hospital",Expansion,SIA/GA/INFRA2/406114/2022,2022-11-11T09:24:29.352+00:00,,,10.3,36850.0,SHIVANAND BANDEKAR,,Environment clearance form,TOR,B2,Building / Construction,"Expansion in the existing Built up Area from 52530.00 Sq. m to 76590.20 Sq. m (i.e., Construction of Tertiary Cancer Care Centre & Blood Bank within the existing site premises) by  M/s. Goa Medical College & Hospital",GOA,0,BAMBOLI,,,"Sy. No. 117 of Calapor Village & Sy. No. 46, 48 & 49 of Bambolim Village",Non - Linear,10.3,0.0,10.3,0.0,0.0,0.0,27000.0,9850.0,0,0,0,Not applicable as the project or activity is site specific,,YES,NO,NO,2022-11-12T08:46:58.693+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626733,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1486407&refType=caf&uuid=c2da227c-88e9-49e6-a8d0-cbead835fe67&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1486333&refType=caf&uuid=03a212fa-7511-424b-aeef-5c5770906053&version=1.2,6650.0,10965.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1490902,North Goa,"Sy. No. 117 of Calapor Village & Sy. No. 46, 48 & 49 of Bambolim Village"
1502373,Lifting of Iron Ore Dump,New,FP/GA/OTHERS/406209/2022,2022-11-12T06:29:02.846+00:00,,DELISTED_BY_SYSTEM,0.34,365.0,ANAND MINRANI,,Forest clearance form,,,,Minrani Exports & Imports,GOA,Dharbandora,Sancordem,,,7,Non - Linear,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,E-Auction material allocated by Goa Directorate of Mines Department Supreme Court Order,NO,NO,NO,2022-11-15T18:30:00.000+00:00,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#S/1, Indira Apartments,
Dhavali, Ponda,",,30,Individual,Proprietor,,30,,626972,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1501944&refType=caf&uuid=6a672c5b-713d-446a-b667-1ca5a9142689&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=1501944&refType=caf&uuid=d02273b0-daa1-4d06-91e9-269118080f83&version=1.5,1805.0,2250.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1502373,South Goa,7
1621624,"Expansion of Production Capacity of Malt Based Distillery Unit from 5 KLD to 11 KLD and additional new 1.5 KLD Gin Distillation Unit by M/s. John Distilleries Private Limited, Goa",Expansion,SIA/GA/IND2/407156/2022,2022-11-19T08:51:21.418+00:00,,,1.4,5968.0,JOHN DISTILLERIES PRIVATE LIMITED,Rian Enviro Private Limited Repl,Environment clearance form,TOR,B1,Distilleries,JOHN DISTILLERIES PRIVATE LIMITED,GOA,Salcete,Cuncolim,,,"Plot No.M-21, M-21A, M-21B",Non - Linear,1.4,0.0,1.4,0.0,0.0,0.0,610.0,5358.0,0,0,0,NO,The proposed expansion is in existing factory premises,NO,NO,NO,2022-11-21T10:58:54.454+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926704,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1609373&refType=caf&uuid=1c31e239-4fdf-4715-ae00-81acd82e7af0&version=1.4,140.0,44550.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1621624,South Goa,"Plot No.M-21, M-21A, M-21B"
1646307,This project is very simple nature of operation. the ore /mineral rejects stock removal proposed to be carried out by deploying hydraulic excavators and wheel loaders with trucks combination.,New,SIA/GA/MIN/407359/2022,2022-11-21T11:21:56.663+00:00,,,4.9,15.0,DR PRAMOD M S TALAULICAR & OTHERS,,Environment clearance form,TOR,B2,Mining of minerals,Dump mining,GOA,Ponda,PONDA,,,23/1,Non - Linear,0.0,4.9,4.9,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,dump mining,NO,NO,NO,2022-11-22T08:00:04.721+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1644143&refType=caf&uuid=58a22b6b-533f-4a4e-b5ce-7c9617fe1153&version=1.1,54810.0,54810.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1646307,North Goa,23/1
1649004,Expansion of production capacity for malt based distillery unit from 5KLD to 11KLD and additional new Gin distillation plant,Expansion,SIA/GA/IND2/407379/2022,2022-11-21T12:52:45.389+00:00,,,14.0,5959.0,JOHN DISTILLERIES PRIVATE LIMITED,Rian Enviro Private Limited Repl,Environment clearance form,TOR,B1,Distilleries,JOHN DISTILLERIES PRIVATE LIMITED,GOA,Salcete,Cuncolim,,,"Plot No.M21, M21-A, M21-B, Cuncolim Industrial Estate, Cuncolim Goa",Non - Linear,14.0,0.0,14.0,0.0,0.0,0.0,601.0,5358.0,0,0,0,NO,The proposed expansion is in existing factory premises and thus no additional land is required. Ease of expansion will also lead to upgradation of existing environmental pollution control measures.,NO,NO,NO,2022-11-21T14:30:27.538+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926704,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1648579&refType=caf&uuid=0c9e351c-4874-4e41-ad89-859e1e2636f1&version=1.0,140.0,44550.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1649004,South Goa,"Plot No.M21, M21-A, M21-B, Cuncolim Industrial Estate, Cuncolim Goa"
1650588,Expansion of production capacity for malt based distillery unit from 5KLD to 11KLD and additional new Gin distillation plant,Expansion,SIA/GA/IND2/407389/2022,2022-11-21T14:41:26.941+00:00,2023-01-30T11:33:57.597+00:00,EC Granted,14.0,5959.0,JOHN DISTILLERIES PRIVATE LIMITED,,Environment clearance form,EC,B1,,JOHN DISTILLERIES PRIVATE LIMITED,GOA,Salcete,Cuncolim,GA/EC/0081/2022,GA/EC/0081/2022,"Plot No.M21, M21-A, M21-B, Cuncolim Industrial Estate, Cuncolim Goa",Non - Linear,14.0,0.0,14.0,0.0,0.0,0.0,601.0,5358.0,0,0,0,NO,The proposed expansion is in existing factory premises and thus no additional land is required. Ease of expansion will also lead to upgradation of existing environmental pollution control measures.,NO,NO,NO,2022-11-21T17:58:19.334+00:00,Located within industrial estates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926704,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1648579&refType=caf&uuid=0c9e351c-4874-4e41-ad89-859e1e2636f1&version=1.0,140.0,44550.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1650588,South Goa,"Plot No.M21, M21-A, M21-B, Cuncolim Industrial Estate, Cuncolim Goa"
1983891,"The proposal is for obtaining prior Environment Clearance for Basalt Stone Quarry located at Survey No. 30/1 of Gokuldem Village, Quepem Taluka, South Goa over an area of 1.000 Ha.",New,SIA/GA/MIN/410339/2022,2022-12-12T18:17:53.485+00:00,2024-10-15T14:35:50.493+00:00,EC Granted,1.0,12.0,MEERAVATI VELIP,,Environment clearance form,TOR,B2,Mining of minerals,Gokuldem Basalt Quarry,GOA,Quepem,GOKOLE,GA/EC/0086/2022,GA/EC/0086/2022,30/1,Non - Linear,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,NA,YES,NO,NO,2024-10-15T16:30:09.545+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626962,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1979550&refType=caf&uuid=e8ca4e7b-7396-465d-914e-6e351033da3a&version=1.0,0.0,7200.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1983891,South Goa,30/1
2008283,"The proposal is for obtaining prior Environment Clearance for Laterite Stone Quarry located at Survey No. 22/1 of Cotorem Village, Sattari Taluka, North Goa over an area of 3.6 Ha.",New,SIA/GA/MIN/410580/2022,2022-12-14T07:21:14.737+00:00,2023-03-15T13:51:01.920+00:00,EC Granted,3.6,8.0,DEU MARATHE,,Environment clearance form,TOR,B2,Mining of minerals,"Laterite Stone Quarry with lease area 3.6 Ha located on land bearing Survey No.22/1 at Village Cotorem of Sattari Taluka, State Goa",GOA,Satari,Cotorem,GA/EC/0085/2022,GA/EC/0085/2022,22/1,Non - Linear,3.6,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,NA,NO,NO,NO,2023-11-16T08:41:33.413+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626832,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2007680&refType=caf&uuid=d07879ab-4b0e-4895-ad82-bbad16a29e6a&version=1.0,0.0,8400.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2008283,North Goa,22/1
2076172,Vagxepe Damdo Amabeya Temb Iron and Manganese Ore,Expansion,IA/GA/MIN/411173/2023,2022-12-17T12:25:56.938+00:00,,,62.54,48.0,PADIYAR GAJANAN,P and M Solutions,Environment clearance form,TOR,B1,Mining of minerals,Vagxepe Damdo Amabeya Temb Iron and Manganese Ore Mine,GOA,Quepem,Molcarnem,,,"Survey No. 86 to 91, 104 to 111, 114 and 117",Non - Linear,62.54,0.0,62.54,0.0,0.0,0.0,26.0,22.0,0,0,0,Not applicable as the project or activity is site specific,,YES,NO,NO,2023-01-13T05:15:56.466+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2076172,SOUTH GOA,"Survey No. 86 to 91, 104 to 111, 114 and 117"
2112914,"The proposal is for obtaining prior Environment Clearance for Basalt Stone Quarry located at Survey No. 5/1 of Coranguinim Village, Sanguem Taluka, South Goa over an area of 1.05 Ha",New,SIA/GA/MIN/411455/2022,2022-12-20T10:33:26.069+00:00,2023-05-10T12:33:20.703+00:00,EC Granted,1.05,12.5,OM METALS,,Environment clearance form,TOR,B2,Mining of minerals,"Proposed Basalt Stone Quarry of lease area 1.05 Ha located on land bearing Survey no. 5/1 at Village Coranguinim of Sanguem Taluka, South Goa, Goa",GOA,Sanguem,Coranginim,GA/EC/0084/2022,GA/EC/0084/2022,5/1,Non - Linear,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,NA,NO,NO,NO,2023-11-16T08:41:33.413+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626997,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2111699&refType=caf&uuid=f44c01e0-47ce-4b7f-b419-144b1bf63ce8&version=1.0,0.0,1920.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2112914,South Goa,5/1
2146390,Sand Mining in River Chapora,New,SIA/GA/MIN/411678/2023,2022-12-22T07:05:33.951+00:00,,,21.738,10.0,THE DIRECTOR OF MINES,,Environment clearance form,TOR,B2,Mining of minerals,Sand Mining ZONE 3A,GOA,Pernem,AGARVADA,,,,Non - Linear,21.738,0.0,21.738,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-01-02T06:09:05.974+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626657,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2136458&refType=caf&uuid=d0bf31ed-45f1-4ca9-b350-70e9bf7e5e4d&version=1.0,45385.0,45385.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2146390,North Goa,
2305044,"Sand Mining by Traditional/Manual method in River Chapora at Revora, Bardez, Goa.",New,SIA/GA/MIN/412848/2023,2023-01-02T07:14:47.117+00:00,,,16.388,10.0,THE DIRECTOR OF MINES,,Environment clearance form,TOR,B2,Mining of minerals,Sand Mining ZONE 4,GOA,Pernem,DHARGAL,,,,Non - Linear,16.388,0.0,16.388,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-01-03T05:21:48.468+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626653,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2304378&refType=caf&uuid=3805328d-02d3-4b54-a714-1b713cdbf34b&version=1.0,39125.0,39125.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2305044,North Goa,
2311396,The proposal is for obtaining prior enviroment clarence for Construction Of Commercial / Residential Project And Swimming Pool In The Property Bearing Survey No.192 /1-C Of Ponda Village Of Ponda Taluka For M/S. Vibhav Real Estate And Madanant Constructions (Goa) Pvt. Ltd has a total plot area of 11700 sqm and a Built-up area of  41335.66 sqm.,New,SIA/GA/INFRA2/412908/2023,2023-01-02T11:04:55.966+00:00,2023-11-18T11:23:23.030+00:00,EC Granted,1.17,4400.0,VIBHAV REAL ESTATE,,Environment clearance form,TOR,B2,Building / Construction,Proposed Construction of Commercial / Residential Project And Swimming Pool in the Property Bearing Survey No.192 /1-C of Ponda Village of Ponda Taluka For M/S. Vibhav Real Estate And Madanant Constructions (Goa) Pvt. Ltd,GOA,Ponda,PONDA,GA/EC/0089/2022,GA/EC/0089/2022,192/1-C,Non - Linear,1.17,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,NA,NO,NO,NO,2023-03-06T09:50:10.641+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803247,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2308874&refType=caf&uuid=f75b794c-dd07-4b8a-8190-7fbe941f0497&version=1.0,34000.0,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2311396,North Goa,192/1-C
2312737,Laterite Stone Quarry,New,SIA/GA/MIN/412918/2023,2023-01-02T11:39:34.093+00:00,,,1.1,8.0,SHRIRAM KAMAT,,Environment clearance form,TOR,B2,Mining of minerals,Madkai Chullafond Laterite Stone Quarry,GOA,Ponda,MADKAI,,,,Linear,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-03-02T10:32:32.475+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626867,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2213522&refType=caf&uuid=8658b828-f2d7-4ddd-aa39-e5abdb7d24c0&version=1.0,0.0,150.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2312737,North Goa,
2377719,"The proposal is for obtaining prior Environment Clearance for Laterite Stone Quarry located at Survey No. 184/1 of Dharbandora Village, Dharbandora Taluka, South Goa over an area of 1.5 Ha.",New,SIA/GA/MIN/413424/2023,2023-01-05T18:31:59.811+00:00,2023-05-10T12:30:44.387+00:00,EC Granted,1.5,8.0,BALKRISHNA MARATHE,,Environment clearance form,TOR,B2,Mining of minerals,"Laterite Stone Quarry with lease area 1.5 Ha located on land bearing Survey No.184/1 at Village Dharbandora of Dharbandora Taluka, State Goa",GOA,Dharbandora,DARBANDORA,99/3/2022-23/GSEIAA/Project-Prop/,99/3/2022-23/GSEIAA/Project-Prop/,184/1,Non - Linear,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,YES,NO,NO,2023-11-16T08:41:33.413+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626971,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2377649&refType=caf&uuid=b95b82ae-c38e-4fd3-9d07-a991b30a84bf&version=1.0,0.0,12000.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2377719,South Goa,184/1
2408400,"M/s Orange Fox Steel Pvt. Ltd. is proposing for the expansion in the steel production of Reheating furnace followed by Rerolling mill (54000 TPA to 120000 TPA), Induction Furnace (43200 TPA to 120000 TPA) in existing steel plant in plot no. L-25, L-26, Cuncolim Industrial Estate, Cuncolim Salcete, Goa.",Expansion,SIA/GA/IND1/413612/2023,2023-01-07T09:20:32.974+00:00,,,2.5,1840.0,ORANGE FOX STEELS PRIVATE LIMITED,J. M. Environet Pvt. Ltd.,Environment clearance form,TOR,B1,Metallurgical Industries (ferrous and non ferrous),"Proposed expansion in the steel production of Reheating furnace followed by Rerolling mill (54000 TPA to 120000 TPA), Induction Furnace (43200 TPA to 120000 TPA) in plot no. L-25, L-26, Cuncolim Industrial Estate, Cuncolim Salcete, Goa by M/s Orange Fox Steel Pvt. Ltd.",GOA,Salcete,Cuncolim,,,"L-25, L-26",Non - Linear,2.5,0.0,2.5,0.0,0.0,0.0,1340.0,500.0,0,0,0,NO,This is an existing plant and has been in operation since 2001. So no alternative site has been proposed,NO,NO,YES,2023-01-25T11:02:15.993+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926704,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2404562&refType=caf&uuid=f9be0af8-598d-4755-83a7-317194913e7f&version=1.0,0.0,91080.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2408400,South Goa,"L-25, L-26"
